,index,state,act_part_pct_2018,act_composite_2018,sat_part_pct_2018,sat_verbal_2018,sat_math_2018,act_part_pct_2017,act_english_2017,act_math_2017,act_reading_2017,act_science_2017,act_composite_2017,sat_part_pct_2017,sat_verbal_2017,sat_math_2017,sat_total_2017,sat_total_2018,n_act_part_pct_2018,n_act_composite_2018,n_sat_part_pct_2018,n_sat_verbal_2018,n_sat_math_2018,n_act_part_pct_2017,n_act_english_2017,n_act_math_2017,n_act_reading_2017,n_act_science_2017,n_act_composite_2017,n_sat_part_pct_2017,n_sat_verbal_2017,n_sat_math_2017,n_sat_total_2017,n_sat_total_2018,gdp,pci,test,white,black,hispanic,asian,native,hawaii,other,n_gdp,n_pci
11,11,Delaware,0.17,23.8,1.0,505,492,0.18,24.1,23.4,24.8,23.6,24.1,1.0,503,492,995,997,0.10752688172043012,0.7721518987341772,1.0,0.15337423312883436,0.06857142857142857,0.10869565217391303,0.8478260869565218,0.73972602739726,0.8481012658227849,0.9424778761061948,0.8181818181818183,1.0,0.12962962962962962,0.13114754098360656,0.13043478260869565,0.06230529595015576,72461,62318,s,0.63,0.21,0.09,0.04,0.0,0.0,0.03,0.014435873993148782,0.47262211762349465
12,12,New Jersey,0.31,23.7,0.82,547,547,0.34,23.8,23.8,24.1,23.2,23.9,0.7,530,526,1056,1094,0.25806451612903225,0.7594936708860758,0.8163265306122448,0.4110429447852761,0.38285714285714284,0.2826086956521739,0.8152173913043479,0.7945205479452055,0.7594936708860761,0.9247787610619469,0.792207792207792,0.6938775510204082,0.2962962962962963,0.31693989071038253,0.3072463768115942,0.3644859813084112,602069,72997,,0.55,0.13,0.21,0.1,0.01,0.0,0.02,0.20597195861494305,0.7399914874439799
13,13,District of Columbia,0.32,23.6,0.92,497,480,0.32,24.4,23.5,24.9,23.5,24.2,1.0,482,468,950,977,0.2688172043010753,0.7468354430379748,0.9183673469387755,0.10429447852760736,0.0,0.2608695652173913,0.8804347826086955,0.7534246575342465,0.8607594936708859,0.9380530973451328,0.8311688311688311,1.0,0.0,0.0,0.0,0.0,135768,83382,s,0.36,0.46,0.11,0.04,0.01,0.0,0.03,0.03733125115730025,1.0
14,14,Pennsylvania,0.2,23.5,0.7,547,539,0.23,23.4,23.4,24.2,23.3,23.7,0.65,540,531,1071,1086,0.13978494623655915,0.7341772151898733,0.6938775510204082,0.4110429447852761,0.33714285714285713,0.1630434782608696,0.7717391304347825,0.73972602739726,0.7721518987341771,0.929203539823009,0.7662337662337662,0.6428571428571429,0.35802469135802467,0.3442622950819672,0.3507246376811594,0.3395638629283489,756269,63173,,0.77,0.11,0.07,0.03,0.01,0.0,0.02,0.2617393644107027,0.49402869232117375
15,15,California,0.27,22.7,0.6,540,536,0.31,22.5,22.7,23.1,22.2,22.8,0.53,531,524,1055,1076,0.21505376344086025,0.6329113924050631,0.5918367346938775,0.36809815950920244,0.32,0.24999999999999997,0.6739130434782609,0.643835616438356,0.6329113924050634,0.8805309734513275,0.6493506493506495,0.5204081632653061,0.30246913580246915,0.30601092896174864,0.30434782608695654,0.308411214953271,2797601,69759,,0.37,0.05,0.39,0.14,0.01,0.01,0.03,1.0,0.6589219098169801
16,16,Indiana,0.32,22.5,0.63,542,532,0.35,22.0,22.4,23.2,22.3,22.6,0.63,542,532,1074,1074,0.2688172043010753,0.6075949367088607,0.6224489795918368,0.3803680981595092,0.29714285714285715,0.2934782608695652,0.6195652173913043,0.602739726027397,0.6455696202531644,0.8849557522123894,0.6233766233766235,0.6224489795918368,0.37037037037037035,0.34972677595628415,0.35942028985507246,0.30218068535825543,352273,58873,,0.79,0.09,0.07,0.02,0.01,0.0,0.02,0.11563165447643736,0.3863698955960041
17,17,Maryland,0.31,22.5,0.76,545,535,0.28,23.3,23.1,24.2,2.3,23.6,0.69,536,520,1056,1080,0.25806451612903225,0.6075949367088607,0.7551020408163265,0.3987730061349693,0.3142857142857143,0.21739130434782608,0.7608695652173914,0.6986301369863015,0.7721518987341771,0.0,0.7532467532467534,0.6836734693877551,0.3333333333333333,0.28415300546448086,0.3072463768115942,0.32087227414330216,399538,81084,,0.51,0.29,0.1,0.07,0.01,0.01,0.03,0.13272534082492363,0.9424651360757117
18,18,Idaho,0.36,22.3,1.0,508,493,0.38,21.9,21.8,23.0,22.1,22.3,0.93,513,493,1006,1001,0.3118279569892473,0.5822784810126582,1.0,0.17177914110429449,0.07428571428571429,0.3260869565217391,0.6086956521739129,0.5205479452054795,0.620253164556962,0.8761061946902656,0.5844155844155845,0.9285714285714286,0.19135802469135801,0.1366120218579235,0.16231884057971013,0.07476635514018691,72294,60208,a,0.82,0.01,0.12,0.01,0.01,0.0,0.03,0.014375477386353116,0.41979419643974863
19,19,Washington,0.24,22.2,0.69,543,538,0.29,20.9,21.9,22.1,22.0,21.9,0.64,541,534,1075,1081,0.1827956989247312,0.5696202531645568,0.6836734693877551,0.38650306748466257,0.3314285714285714,0.22826086956521735,0.49999999999999983,0.5342465753424656,0.5063291139240508,0.8716814159292036,0.5324675324675322,0.6326530612244898,0.36419753086419754,0.36065573770491804,0.36231884057971014,0.32398753894080995,524323,75418,,0.69,0.03,0.13,0.09,0.01,0.01,0.05,0.17785462572909916,0.8006058936931975
20,20,South Dakota,0.77,21.9,0.03,622,618,0.8,20.7,21.5,22.3,22.0,21.8,0.03,612,603,1215,1240,0.7526881720430108,0.5316455696202529,0.01020408163265306,0.8711656441717791,0.7885714285714286,0.782608695652174,0.4782608695652173,0.4794520547945205,0.5316455696202532,0.8716814159292036,0.5194805194805195,0.01020408163265306,0.8024691358024691,0.7377049180327869,0.7681159420289855,0.8193146417445483,49813,56894,,0.83,0.02,0.04,0.01,0.08,0.0,0.02,0.006245081473937599,0.3368218121729551
